"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 16 22:49:19 GMT 2025","Mon Jun 16 22:49:20 GMT 2025","63","","","","","","Validate Credit Card",""
"passed","Mon Jun 16 22:49:20 GMT 2025","Mon Jun 16 22:49:20 GMT 2025","51","","","","","","Validate Credit Card",""
"passed","Mon Jun 16 22:49:20 GMT 2025","Mon Jun 16 22:49:20 GMT 2025","49","","","","","","Validate Credit Card",""
"passed","Mon Jun 16 22:49:20 GMT 2025","Mon Jun 16 22:49:20 GMT 2025","50","","","","","","Validate Credit Card",""
"passed","Mon Jun 16 22:49:20 GMT 2025","Mon Jun 16 22:49:20 GMT 2025","27","","","","","","Validate Credit Card",""
"passed","Mon Jun 16 22:49:20 GMT 2025","Mon Jun 16 22:49:20 GMT 2025","56","","","","","","Validate Credit Card",""
"passed","Mon Jun 16 22:49:19 GMT 2025","Mon Jun 16 22:49:19 GMT 2025","445","","","","","","Validate Credit Card",""
"passed","Mon Jun 16 22:49:20 GMT 2025","Mon Jun 16 22:49:20 GMT 2025","64","","","","","","Validate Credit Card",""
"passed","Mon Jun 16 22:49:20 GMT 2025","Mon Jun 16 22:49:20 GMT 2025","34","","","","","","Validate Credit Card",""
"passed","Mon Jun 16 22:49:20 GMT 2025","Mon Jun 16 22:49:20 GMT 2025","49","","","","","","Validate Credit Card",""
"passed","Mon Jun 16 22:49:20 GMT 2025","Mon Jun 16 22:49:20 GMT 2025","47","","","","","","Validate Credit Card",""
"passed","Mon Jun 16 22:49:20 GMT 2025","Mon Jun 16 22:49:20 GMT 2025","83","","","","","","Validate Credit Card",""
"passed","Mon Jun 16 22:49:20 GMT 2025","Mon Jun 16 22:49:20 GMT 2025","29","","","","","","Validate Credit Card",""
"passed","Mon Jun 16 22:49:20 GMT 2025","Mon Jun 16 22:49:20 GMT 2025","77","","","","","","Validate Credit Card",""
"passed","Mon Jun 16 22:49:20 GMT 2025","Mon Jun 16 22:49:20 GMT 2025","51","","","","","","Validate Credit Card",""
"passed","Mon Jun 16 22:49:20 GMT 2025","Mon Jun 16 22:49:20 GMT 2025","35","","","","","","Validate Credit Card",""
"passed","Mon Jun 16 22:49:20 GMT 2025","Mon Jun 16 22:49:20 GMT 2025","28","","","","","","Validate Credit Card",""
